"","spc.season","Harbour","meanQuantitycopies","LOD","LOQ","eDNA_eval_mean","eDNA_col_eval_mean","spc","season","Genus","species","dk_comnm","Harbour.Saeson.EuroFinsExtrSmpleno","Coll_date","volfilt_mL","declat","declon","EuroFinsampleno","gen_specnm.Wellname.season.no1","freq_NoCt","freq_belowLOD","freq_AbLOD_BeLOQ","freq_aboveLOQ","freq_repl_eval","eDNA_eval_p_repl_col","eDNA_eval_p_repl_descr","AssayIDcode","AssayIDNo","spc.Harbour","conv_rec_val","col.f.conv_rec_val","valid_comb_score","valid_hexcol","valid_score","categ_valid","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L","no_for_log.10_eDNAlvls","col_log.10_eDNAlvls","col.f.green.hexcol.ab.LOQ","eDNA_eval_t_repl_col"
"529","Cordylophora_caspia.efteraar","Koege",0,5,5,"NoCt","white","Cordylophora_caspia","efteraar","Cordylophora","caspia","brakvandskroellepolyp","Koege.efteraar.1","2017.sep.12",450,55.4566,12.204,"smpl16","Cordylophora_caspia.smpl16.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Koege",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"569","Cordylophora_caspia.efteraar","Odense",0,5,5,"NoCt","white","Cordylophora_caspia","efteraar","Cordylophora","caspia","brakvandskroellepolyp","Odense.efteraar.1","2017.sep.15",800,55.4101,10.378,"smpl13","Cordylophora_caspia.smpl13.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Odense",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"609","Cordylophora_caspia.efteraar","Roedby",0,5,5,"NoCt","white","Cordylophora_caspia","efteraar","Cordylophora","caspia","brakvandskroellepolyp","Roedby.efteraar.1","2017.sep.23",200,54.6541,11.3461,"smpl14","Cordylophora_caspia.smpl14.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Roedby",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"10","Cordylophora_caspia.foraar","AalborgHavn",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","AalborgHavn.foraar.1","2017.jun.29",1000,57.0514,9.9319,"smpl04","Cordylophora_caspia.smpl04.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.AalborgHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"50","Cordylophora_caspia.foraar","Aalborgportland",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Aalborgportland.foraar.1","2017.jun.30",1000,57.0514,9.9319,"smpl03","Cordylophora_caspia.smpl03.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Aalborgportland",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"90","Cordylophora_caspia.foraar","Aarhus",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Aarhus.foraar.1","2017.jul.05",2400,56.1597,10.2301,"smpl02","Cordylophora_caspia.smpl02.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Aarhus",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"130","Cordylophora_caspia.foraar","Esbjerg",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Esbjerg.foraar.1","2017.jun.27",1000,55.4578,8.442,"smpl01","Cordylophora_caspia.smpl01.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Esbjerg",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"170","Cordylophora_caspia.foraar","Fredericia",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Fredericia.foraar.1","2017.jul.05",1600,55.5579,9.7489,"smpl05","Cordylophora_caspia.smpl05.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Fredericia",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"210","Cordylophora_caspia.foraar","Frederikshavn",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Frederikshavn.foraar.1","2017.jun.28",1000,57.4421,10.5622,"smpl06","Cordylophora_caspia.smpl06.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Frederikshavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"250","Cordylophora_caspia.foraar","Gedser",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Gedser.foraar.1","2017.jul.04",700,54.5719,11.9277,"smpl07","Cordylophora_caspia.smpl07.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Gedser",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"290","Cordylophora_caspia.foraar","Grenaa",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Grenaa.foraar.1","2017.jul.05",1100,56.4126,10.9332,"smpl08","Cordylophora_caspia.smpl08.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Grenaa",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"330","Cordylophora_caspia.foraar","Helsingoer",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Helsingoer.foraar.1","2017.jul.11",1000,56.0357,12.6176,"smpl09","Cordylophora_caspia.smpl09.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Helsingoer",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"370","Cordylophora_caspia.foraar","Hirtshals",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Hirtshals.foraar.1","2017.jun.28",1000,57.5975,9.9772,"smpl10","Cordylophora_caspia.smpl10.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Hirtshals",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"410","Cordylophora_caspia.foraar","Kalundborg",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Kalundborg.foraar.1","2017.jul.03",1500,55.6773,11.073,"smpl11","Cordylophora_caspia.smpl11.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Kalundborg",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"450","Cordylophora_caspia.foraar","KalundborgStatiolHavn",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","KalundborgStatiolHavn.foraar.1","2017.jul.02",1500,55.6643,11.0736,"smpl15","Cordylophora_caspia.smpl15.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.KalundborgStatiolHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"490","Cordylophora_caspia.foraar","Koebenhavn",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Koebenhavn.foraar.1","2017.jun.09",1800,55.6652,12.5702,"smpl12","Cordylophora_caspia.smpl12.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Koebenhavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"530","Cordylophora_caspia.foraar","Koege",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Koege.foraar.1","2017.jul.04",850,55.4566,12.204,"smpl16","Cordylophora_caspia.smpl16.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Koege",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"570","Cordylophora_caspia.foraar","Odense",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Odense.foraar.1","2017.jul.19",800,55.4101,10.378,"smpl13","Cordylophora_caspia.smpl13.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Odense",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"610","Cordylophora_caspia.foraar","Roedby",0,5,5,"NoCt","white","Cordylophora_caspia","foraar","Cordylophora","caspia","brakvandskroellepolyp","Roedby.foraar.1","2017.jul.04",500,54.6541,11.3461,"smpl14","Cordylophora_caspia.smpl14.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID21","21","Cordylophora_caspia.Roedby",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"11","Crassostrea_gigas.efteraar","AalborgHavn",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","AalborgHavn.efteraar.1","2017.oct.11",1000,57.0514,9.9319,"smpl04","Crassostrea_gigas.smpl04.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.AalborgHavn",2,"black","1_and_2","#538DD5",11,"NoCt_FM4",0,0,1,0,1,0,"0","white"
"51","Crassostrea_gigas.efteraar","Aalborgportland",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Aalborgportland.efteraar.1","2017.oct.11",2500,57.0514,9.9319,"smpl03","Crassostrea_gigas.smpl03.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Aalborgportland",2,"black","1_and_2","#538DD5",11,"NoCt_FM4",0,0,1,0,1,0,"0","white"
"91","Crassostrea_gigas.efteraar","Aarhus",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Aarhus.efteraar.1","2017.sep.19",1000,56.1597,10.2301,"smpl02","Crassostrea_gigas.smpl02.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Aarhus",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"131","Crassostrea_gigas.efteraar","Esbjerg",39.1633333333333,50,500,"belowLOD","yellow","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Esbjerg.efteraar.1","2017.oct.17",200,55.4578,8.442,"smpl01","Crassostrea_gigas.smpl01.efteraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID14","14","Crassostrea_gigas.Esbjerg",2,"black","2_and_2","#8DB4E2",12,"BeLOD_FM4",13.7071666666667,13707.1666666667,13708.1666666667,4.1369793760302,2,0,"0","yellow"
"171","Crassostrea_gigas.efteraar","Fredericia",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Fredericia.efteraar.1","2017.oct.11",1000,55.5579,9.7489,"smpl05","Crassostrea_gigas.smpl05.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Fredericia",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"211","Crassostrea_gigas.efteraar","Frederikshavn",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Frederikshavn.efteraar.1","2017.oct.06",3000,57.4421,10.5622,"smpl06","Crassostrea_gigas.smpl06.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Frederikshavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"251","Crassostrea_gigas.efteraar","Gedser",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Gedser.efteraar.1","2017.sep.23",1000,54.5719,11.9277,"smpl07","Crassostrea_gigas.smpl07.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Gedser",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"291","Crassostrea_gigas.efteraar","Grenaa",0.696666666666667,50,500,"belowLOD","yellow","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Grenaa.efteraar.1","2017.sep.19",1000,56.4126,10.9332,"smpl08","Crassostrea_gigas.smpl08.efteraar.1",2,1,0,0,"'2/1/0/0'",2,"belowLOD","AssID14","14","Crassostrea_gigas.Grenaa",0,"white","2_and_0","#C4D79B",2,"BeLOD_NF",0.0487666666666667,48.7666666666667,49.7666666666667,1.69693855300536,2,0,"0","yellow"
"331","Crassostrea_gigas.efteraar","Helsingoer",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Helsingoer.efteraar.1","2017.sep.13",1000,56.0357,12.6176,"smpl09","Crassostrea_gigas.smpl09.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Helsingoer",2,"black","1_and_2","#538DD5",11,"NoCt_FM4",0,0,1,0,1,0,"0","white"
"371","Crassostrea_gigas.efteraar","Hirtshals",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Hirtshals.efteraar.1","2017.nov.08",600,57.5975,9.9772,"smpl10","Crassostrea_gigas.smpl10.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Hirtshals",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"411","Crassostrea_gigas.efteraar","Kalundborg",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Kalundborg.efteraar.1","2017.sep.22",1000,55.6773,11.073,"smpl11","Crassostrea_gigas.smpl11.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Kalundborg",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"451","Crassostrea_gigas.efteraar","KalundborgStatiolHavn",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","KalundborgStatiolHavn.efteraar.1","2017.sep.22",1000,55.6643,11.0736,"smpl15","Crassostrea_gigas.smpl15.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.KalundborgStatiolHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"491","Crassostrea_gigas.efteraar","Koebenhavn",60.8733333333333,50,500,"AbLOD_BeLOQ","red","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Koebenhavn.efteraar.1","2017.sep.12",1650,55.6652,12.5702,"smpl12","Crassostrea_gigas.smpl12.efteraar.1",0,2,1,0,"'0/2/1/0'",3,"AbLOD_BeLOQ","AssID14","14","Crassostrea_gigas.Koebenhavn",2,"black","3_and_2","#92D050",13,"AbLOD_FM4",2.58250505050505,2582.50505050505,2583.50505050505,3.41220931488665,3,0,"0","orange"
"531","Crassostrea_gigas.efteraar","Koege",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Koege.efteraar.1","2017.sep.12",450,55.4566,12.204,"smpl16","Crassostrea_gigas.smpl16.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Koege",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"571","Crassostrea_gigas.efteraar","Odense",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Odense.efteraar.1","2017.sep.15",800,55.4101,10.378,"smpl13","Crassostrea_gigas.smpl13.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Odense",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"611","Crassostrea_gigas.efteraar","Roedby",0,50,500,"NoCt","white","Crassostrea_gigas","efteraar","Crassostrea","gigas","stillehavsoesters","Roedby.efteraar.1","2017.sep.23",200,54.6541,11.3461,"smpl14","Crassostrea_gigas.smpl14.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Roedby",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"12","Crassostrea_gigas.foraar","AalborgHavn",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","AalborgHavn.foraar.1","2017.jun.29",1000,57.0514,9.9319,"smpl04","Crassostrea_gigas.smpl04.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.AalborgHavn",2,"black","1_and_2","#538DD5",11,"NoCt_FM4",0,0,1,0,1,0,"0","white"
"52","Crassostrea_gigas.foraar","Aalborgportland",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Aalborgportland.foraar.1","2017.jun.30",1000,57.0514,9.9319,"smpl03","Crassostrea_gigas.smpl03.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Aalborgportland",2,"black","1_and_2","#538DD5",11,"NoCt_FM4",0,0,1,0,1,0,"0","white"
"92","Crassostrea_gigas.foraar","Aarhus",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Aarhus.foraar.1","2017.jul.05",2400,56.1597,10.2301,"smpl02","Crassostrea_gigas.smpl02.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Aarhus",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"132","Crassostrea_gigas.foraar","Esbjerg",31.5633333333333,50,50,"belowLOD","yellow","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Esbjerg.foraar.1","2017.jun.27",1000,55.4578,8.442,"smpl01","Crassostrea_gigas.smpl01.foraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID14","14","Crassostrea_gigas.Esbjerg",2,"black","2_and_2","#8DB4E2",12,"BeLOD_FM4",2.20943333333333,2209.43333333333,2210.43333333333,3.34447742111836,2,0,"0","yellow"
"172","Crassostrea_gigas.foraar","Fredericia",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Fredericia.foraar.1","2017.jul.05",1600,55.5579,9.7489,"smpl05","Crassostrea_gigas.smpl05.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Fredericia",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"212","Crassostrea_gigas.foraar","Frederikshavn",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Frederikshavn.foraar.1","2017.jun.28",1000,57.4421,10.5622,"smpl06","Crassostrea_gigas.smpl06.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Frederikshavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"252","Crassostrea_gigas.foraar","Gedser",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Gedser.foraar.1","2017.jul.04",700,54.5719,11.9277,"smpl07","Crassostrea_gigas.smpl07.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Gedser",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"292","Crassostrea_gigas.foraar","Grenaa",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Grenaa.foraar.1","2017.jul.05",1100,56.4126,10.9332,"smpl08","Crassostrea_gigas.smpl08.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Grenaa",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"332","Crassostrea_gigas.foraar","Helsingoer",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Helsingoer.foraar.1","2017.jul.11",1000,56.0357,12.6176,"smpl09","Crassostrea_gigas.smpl09.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Helsingoer",2,"black","1_and_2","#538DD5",11,"NoCt_FM4",0,0,1,0,1,0,"0","white"
"372","Crassostrea_gigas.foraar","Hirtshals",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Hirtshals.foraar.1","2017.jun.28",1000,57.5975,9.9772,"smpl10","Crassostrea_gigas.smpl10.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Hirtshals",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"412","Crassostrea_gigas.foraar","Kalundborg",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Kalundborg.foraar.1","2017.jul.03",1500,55.6773,11.073,"smpl11","Crassostrea_gigas.smpl11.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Kalundborg",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"452","Crassostrea_gigas.foraar","KalundborgStatiolHavn",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","KalundborgStatiolHavn.foraar.1","2017.jul.02",1500,55.6643,11.0736,"smpl15","Crassostrea_gigas.smpl15.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.KalundborgStatiolHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"492","Crassostrea_gigas.foraar","Koebenhavn",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Koebenhavn.foraar.1","2017.jun.09",1800,55.6652,12.5702,"smpl12","Crassostrea_gigas.smpl12.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Koebenhavn",2,"black","1_and_2","#538DD5",11,"NoCt_FM4",0,0,1,0,1,0,"0","white"
"532","Crassostrea_gigas.foraar","Koege",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Koege.foraar.1","2017.jul.04",850,55.4566,12.204,"smpl16","Crassostrea_gigas.smpl16.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Koege",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"572","Crassostrea_gigas.foraar","Odense",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Odense.foraar.1","2017.jul.19",800,55.4101,10.378,"smpl13","Crassostrea_gigas.smpl13.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Odense",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"612","Crassostrea_gigas.foraar","Roedby",0,50,50,"NoCt","white","Crassostrea_gigas","foraar","Crassostrea","gigas","stillehavsoesters","Roedby.foraar.1","2017.jul.04",500,54.6541,11.3461,"smpl14","Crassostrea_gigas.smpl14.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID14","14","Crassostrea_gigas.Roedby",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"13","Cyprinus_carpio.efteraar","AalborgHavn",0,5,5,"NoCt","white","Cyprinus_carpio","efteraar","Cyprinus","carpio","karpe","AalborgHavn.efteraar.1","2017.oct.11",1000,57.0514,9.9319,"smpl04","Cyprinus_carpio.smpl04.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID07","07","Cyprinus_carpio.AalborgHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"53","Cyprinus_carpio.efteraar","Aalborgportland",0.606666666666667,5,5,"belowLOD","yellow","Cyprinus_carpio","efteraar","Cyprinus","carpio","karpe","Aalborgportland.efteraar.1","2017.oct.11",2500,57.0514,9.9319,"smpl03","Cyprinus_carpio.smpl03.efteraar.1",2,1,0,0,"'2/1/0/0'",2,"belowLOD","AssID07","07","Cyprinus_carpio.Aalborgportland",0,"white","2_and_0","#C4D79B",2,"BeLOD_NF",0.0169866666666667,16.9866666666667,17.9866666666667,1.2549506862802,2,0,"0","yellow"
"93","Cyprinus_carpio.efteraar","Aarhus",1.31333333333333,5,5,"belowLOD","yellow","Cyprinus_carpio","efteraar","Cyprinus","carpio","karpe","Aarhus.efteraar.1","2017.sep.19",1000,56.1597,10.2301,"smpl02","Cyprinus_carpio.smpl02.efteraar.1",1,2,0,0,"'1/2/0/0'",2,"belowLOD","AssID07","07","Cyprinus_carpio.Aarhus",0,"white","2_and_0","#C4D79B",2,"BeLOD_NF",0.0919333333333334,91.9333333333334,92.9333333333334,1.96817151470631,2,0,"0","yellow"
"133","Cyprinus_carpio.efteraar","Esbjerg",0,5,5,"NoCt","white","Cyprinus_carpio","efteraar","Cyprinus","carpio","karpe","Esbjerg.efteraar.1","2017.oct.17",200,55.4578,8.442,"smpl01","Cyprinus_carpio.smpl01.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID07","07","Cyprinus_carpio.Esbjerg",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"173","Cyprinus_carpio.efteraar","Fredericia",0,5,5,"NoCt","white","Cyprinus_carpio","efteraar","Cyprinus","carpio","karpe","Fredericia.efteraar.1","2017.oct.11",1000,55.5579,9.7489,"smpl05","Cyprinus_carpio.smpl05.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID07","07","Cyprinus_carpio.Fredericia",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
